Parent ID,Parent SKU,Product ID,Product SKU,Product Name,Post Title,Slug,Permalink,Product URI,Description,Excerpt,Product Published,Product Modified,Type,Visibility,Featured,Virtual,Downloadable,Price,Sale Price,Sale Price Dates From,Sale Price Dates To,Weight,Weight Unit,Height,Height Unit,Width,Width Unit,Length,Length Unit,Category,Tag,Featured Image,Product Gallery,Tax Status,Tax Class,Shipping Class,Download File Name,Download File URL Path,Download Limit,Download Expiry,Download Type,Manage Stock,Quantity,Stock Status,Allow Backorders,Sold Individually,Up-Sells,Cross-Sells,External URL,Button Text,Purchase Note,Product Status,Enable Reviews,Sort Order,WordPress SEO - Focus Keyword,WordPress SEO - Meta Description,WordPress SEO - SEO Title,WordPress SEO - Noindex,WordPress SEO - Follow,WordPress SEO - Google+ Description,WordPress SEO - Facebook Title,WordPress SEO - Facebook Description,WordPress SEO - Facebook Image,WordPress SEO - Twitter Title,WordPress SEO - Twitter Description,WordPress SEO - Twitter Image
,,2184,124585,Двигатель на Golf 3 универсал 1.8 ААМ,Двигатель на Golf 3 универсал 1.8 ААМ,dvigatel-na-golf-3-universal-1-8-aam,http://zapchast-bu.ru/shop/folksvagen/golf-3-universal-1997-1-8-aam/dvigatel-na-golf-3-universal-1-8-aam/,http://zapchast-bu.ru/shop/folksvagen/golf-3-universal-1997-1-8-aam/dvigatel-na-golf-3-universal-1-8-aam/,Двигатель на Golf 3 универсал 1.8 ААМ,Просто двигатель.,10-12-17,14-12-17,Simple Product,Shop and search results,No,No,No,55000,,,,,,,,,,,,Фольксваген>Golf 3 универсал 1997 1.8 ААМ,,http://zapchast-bu.ru/wp-content/uploads/двигатель-18ААМ.jpg,2185,Taxable,,,,,-1,-1,Standard,yes,1,In Stock,No,No,,,,,,Publish,Closed,0,,,,,,,,,,,,
,,2178,,Колеса на Golf 3 универсал,Колеса на Golf 3 универсал,kolesa-na-golf-3-universal,http://zapchast-bu.ru/shop/gaz/kolesa-na-golf-3-universal/,http://zapchast-bu.ru/shop/gaz/kolesa-na-golf-3-universal/,Колеса на Golf 3 универсал.,,10-12-17,15-12-17,Simple Product,Shop and search results,No,No,No,,,,,,,,,,,,,Фольксваген>Golf 3 универсал 1997 1.8 ААМ|Ваз|Газ,,http://zapchast-bu.ru/wp-content/uploads/IMG_20171113_125726.jpg,2179|2180,Taxable,,,,,-1,-1,Standard,no,,In Stock,No,No,,,,,,Publish,Closed,0,,,,,,,,,,,,
,,2175,,Стартер на Golf 3 универсал,Стартер на Golf 3 универсал,starter-na-golf-3-universal,http://zapchast-bu.ru/shop/audi/starter-na-golf-3-universal/,http://zapchast-bu.ru/shop/audi/starter-na-golf-3-universal/,"Стартер на Golf 3 универсал, сломано ухо но не крепление.",,10-12-17,15-12-17,Simple Product,Shop and search results,No,No,No,,,,,,,,,,,,,Фольксваген>Golf 3 универсал 1997 1.8 ААМ|Ауди,,http://zapchast-bu.ru/wp-content/uploads/стартер-сломано-ухо-но-не-крепление.jpg,2176|2177,Taxable,,,,,-1,-1,Standard,no,,In Stock,No,No,,,,,,Publish,Closed,0,,,,,,,,,,,,
,,2172,,Генератор на Golf 3 универсал,Генератор на Golf 3 универсал,generator-na-golf-3-universal,http://zapchast-bu.ru/shop/folksvagen/golf-3-universal-1997-1-8-aam/generator-na-golf-3-universal/,http://zapchast-bu.ru/shop/folksvagen/golf-3-universal-1997-1-8-aam/generator-na-golf-3-universal/,"Генератор на Golf 3 универсал, шум подшипника.",,10-12-17,10-12-17,Simple Product,Shop and search results,No,No,No,,,,,,,,,,,,,Фольксваген>Golf 3 универсал 1997 1.8 ААМ,,http://zapchast-bu.ru/wp-content/uploads/генератор-шум-подшипника.jpg,2173|2174,Taxable,,,,,-1,-1,Standard,no,,In Stock,No,No,,,,,,Publish,Closed,0,,,,,,,,,,,,
,,2167,,Кузов Golf 3 универсал 1997 1.8 ААМ,Кузов Golf 3 универсал 1997 1.8 ААМ,kuzov-golf-3-universal-1997-1-8-aam,http://zapchast-bu.ru/shop/folksvagen/golf-3-universal-1997-1-8-aam/kuzov-golf-3-universal-1997-1-8-aam/,http://zapchast-bu.ru/shop/folksvagen/golf-3-universal-1997-1-8-aam/kuzov-golf-3-universal-1997-1-8-aam/,Кузов на Гольф 3,,10-12-17,10-12-17,Simple Product,Shop and search results,No,No,No,,,,,,,,,,,,,Фольксваген>Golf 3 универсал 1997 1.8 ААМ,,http://zapchast-bu.ru/wp-content/uploads/IMG_20171114_130613.jpg,2168|2169|2171,Taxable,,,,,-1,-1,Standard,no,,In Stock,No,No,,,,,,Publish,Closed,0,,,,,,,,,,,,
,,2163,,Mitsubishi Carisma (мицубиси каризма 97),Mitsubishi Carisma (мицубиси каризма 97),mitsubishi-carisma-micubisi-karizma-97,http://zapchast-bu.ru/shop/micubisi/carisma-1997/mitsubishi-carisma-micubisi-karizma-97/,http://zapchast-bu.ru/shop/micubisi/carisma-1997/mitsubishi-carisma-micubisi-karizma-97/,Запчасти на автомобиль Mitsubishi Carisma 1997.,,10-12-17,10-12-17,Simple Product,Shop and search results,No,No,No,,,,,,,,,,,,,Мицубиси>Carisma 1997,,http://zapchast-bu.ru/wp-content/uploads/IMG_20171118_162255.jpg,2165|2162|2166,Taxable,,,,,-1,-1,Standard,no,,In Stock,No,No,,,,,,Publish,Closed,0,,,,,,,,,,,,
,,2191,,Mitsubishi Carisma (мицубиси каризма 91),Mitsubishi Carisma (мицубиси каризма 91),mitsubishi-carisma-micubisi-karizma-91,http://zapchast-bu.ru/shop/micubisi/carisma-1997/mitsubishi-carisma-micubisi-karizma-91/,http://zapchast-bu.ru/shop/micubisi/carisma-1997/mitsubishi-carisma-micubisi-karizma-91/,Запчасти на автомобиль Mitsubishi Carisma 1991.,,10-12-17,10-12-17,Simple Product,Shop and search results,No,No,No,17000,,,,,,,,,,,,Мицубиси>Carisma 1991,,http://zapchast-bu.ru/wp-content/uploads/IMG_20171118_162255.jpg,2165|2162|2166,Taxable,,,,,-1,-1,Standard,no,,In Stock,No,No,,,,,,Publish,Closed,0,,,,,,,,,,,,
